timestamp,device_id,device_name,log_type,log_desc,log_line_count,battery_level,mac_id
Sun Aug 27 11:34:34 2023,device_id,device_name,WiFi,CONNECTED,1,0%,40:91:51:B2:EB:68
Sun Aug 27 11:34:35 2023,device_id,device_name,MQTT,CONNECTED,2,0%,40:91:51:B2:EB:68
Sun Aug 27 11:39:20 2023,device_id,device_name,WiFi,CONNECTED,3,0%,40:91:51:B2:EB:68
Sun Aug 27 11:39:24 2023,device_id,device_name,MQTT,CONNECTED,4,0%,40:91:51:B2:EB:68
Sun Aug 27 11:39:59 2023,device_id,device_name,DOOR,CLOSED,5,0%,40:91:51:B2:EB:68
Sun Aug 27 11:40:00 2023,device_id,device_name,DOOR,OPENED,6,0%,40:91:51:B2:EB:68
Sun Aug 27 11:40:06 2023,device_id,device_name,DOOR,CLOSED,7,0%,40:91:51:B2:EB:68
Sun Aug 27 11:40:11 2023,device_id,device_name,DOOR,OPENED,8,0%,40:91:51:B2:EB:68
Sun Aug 27 12:04:38 2023,device_id,device_name,POWER,DISCONNECTED,9,0%,40:91:51:B2:EB:68
Sun Aug 27 12:47:54 2023,device_id,device_name,MQTT,DISCONNECTED,10,0%,40:91:51:B2:EB:68
Sun Aug 27 12:48:13 2023,device_id,device_name,WIFI,DISCONNECTED,11,0%,40:91:51:B2:EB:68
Sun Aug 27 16:35:56 2023,device_id,device_name,POWER,CONNECTED,12,0%,40:91:51:B2:EB:68
Sun Aug 27 16:35:58 2023,device_id,device_name,POWER,DISCONNECTED,13,0%,40:91:51:B2:EB:68
Mon Aug 28 16:54:41 2023,device_id,device_name,POWER,CONNECTED,14,0%,40:91:51:B2:EB:68
Mon Aug 28 16:58:54 2023,device_id,device_name,POWER,DISCONNECTED,15,0%,40:91:51:B2:EB:68
Mon Aug 28 17:06:18 2023,device_id,device_name,POWER,CONNECTED,16,0%,40:91:51:B2:EB:68
Mon Aug 28 20:05:43 2023,device_id,device_name,POWER,DISCONNECTED,17,0%,40:91:51:B2:EB:68
Mon Aug 28 20:05:44 2023,device_id,device_name,POWER,CONNECTED,18,0%,40:91:51:B2:EB:68
Mon Aug 28 20:08:49 2023,device_id,device_name,POWER,DISCONNECTED,19,0%,40:91:51:B2:EB:68
Tue Aug 29 11:09:34 2023,device_id,device_name,POWER,CONNECTED,20,0%,40:91:51:B2:EB:68
Tue Aug 29 13:27:57 2023,device_id,device_name,POWER,DISCONNECTED,21,0%,40:91:51:B2:EB:68
Tue Aug 29 13:28:03 2023,device_id,device_name,MQTT,DISCONNECTED,22,0%,40:91:51:B2:EB:68
Tue Aug 29 13:32:48 2023,device_id,device_name,POWER,CONNECTED,23,0%,40:91:51:B2:EB:68
Tue Aug 29 13:47:21 2023,device_id,device_name,POWER,DISCONNECTED,24,0%,40:91:51:B2:EB:68
